code_param_id	code_param  method_id   method      max_time    max_time_max    max_time_min    avg_max_load     max_max_load    min_max_load   avg_bandwidth     max_bandwidth   min_bandwidth
a	            (6,2,2)     a           RDPM        71431.8     77669.0         67401.0         121.63           136             113            2884.5            2922            2849 
a	            (6,2,2)     b           BWPM        19725.0     20143.0         19103.0         29.6             31              29             447.0             447             447 
a	            (6,2,2)     c           BTPM        15481.6     16138.0         14473.0         20.8             22              20             447.2             448             447
b	            (6,3,2)     a           RDPM        94304.4     98867.0         89993.0         161.0            169             153            4061.83           4098            4023 
b	            (6,3,2)     b           BWPM        31646.4     31885.0         31445.0         47.6             48              47             818.0             818             818
b	            (6,3,2)     c           BTPM        23488.6     24376.0         23026.0         33.0             33              33             819.8             820             819
c	            (6,3,3)     a           RDPM        104981.8    106826.0        101841.0        182.38           190             175            4491.13           4514            4469
c	            (6,3,3)     b           BWPM        41334.0     42048.0         40600.0         71.6             74              70             1362.0            1362            1362 
c	            (6,3,3)     c           BTPM        34607.6     35860.0         33805.0         51.8             52              51             1367.4            1372            1365 
d	            (10,2,2)    a           RDPM        96772.6     99900.0         93666.0         164.25           172             158            4156.0            4193            4131 
d	            (10,2,2)    b           BWPM        31921.4     32641.0         30941.0         52.8             56              49             970.0             970             970 
d	            (10,2,2)    c           BTPM        26332.0     26911.0         25763.0         38.36s           39              37             972.0             974             971
