code_param	method	bandwidth	max_load	bw_tradeoff	load_improve	re_percent			
(2,2),2	SM	93	15						
(3,2),2	SM	176	24						
(3,3),2	SM	913	82						
(4,2),2	SM	357	35						
(4,3),2	SM	1110	89						
(4,4),2	SM	1900	130						
(5,2),2	SM	572	50						
(5,3),2	SM	1267	83						
(5,4),2	SM	2088	151						
(6,2),2	SM	735	56						
(6,3),2	SM	1444	85						
(6,4),2	SM	2247	121						
(8,2),2	SM	954	49						
(8,3),2	SM	1782	91						
(8,4),2	SM	2597	111						
(16,2),2	SM	1779	60						
(16,3),2	SM	2669	75						
(16,4),2	SM	3556	95						
(2,2),2	BT	107	11	0.15053763440860216	0.26666666666666666	0			
(3,2),2	BT	239	18	0.35795454545454547	0.25	0			
(3,3),2	BT	1119	67	0.22562979189485213	0.18292682926829268	0.002			
(4,2),2	BT	421	25	0.1792717086834734	0.2857142857142857	0			
(4,3),2	BT	1342	70	0.209009009009009	0.21348314606741572	0.001			
(4,4),2	BT	2272	106	0.1957894736842105	0.18461538461538463	0.005			
(5,2),2	BT	644	32	0.1258741258741259	0.36	0			
(5,3),2	BT	1523	68	0.20205209155485399	0.18072289156626506	0			
(5,4),2	BT	2549	100	0.22078544061302682	0.33774834437086093	0.010			
(6,2),2	BT	842	37	0.145578231292517	0.3392857142857143	0			
(6,3),2	BT	1749	73	0.21121883656509696	0.1411764705882353	0			
(6,4),2	BT	2792	99	0.24254561637739208	0.18181818181818182	0.001			
(8,2),2	BT	1161	39	0.2169811320754717	0.20408163265306123	0			
(8,3),2	BT	2162	68	0.2132435465768799	0.25274725274725274	0			
(8,4),2	BT	3152	89	0.2137081247593377	0.1981981981981982	0			
(16,2),2	BT	2242	45	0.26025857223159077	0.25	0			
(16,3),2	BT	3350	61	0.25515174222555265	0.18666666666666668	0			
(16,4),2	BT	4518	76	0.2705286839145107	0.2	0			
