code_param	method	bandwidth	max_load	stddev	improvement	percent			
(2,2),4	SM								
(3,2),4	SM								
(3,3),4	SM								
(4,2),4	SM								
(4,3),4	SM								
(4,4),4	SM								
(5,2),4	SM								
(5,3),4	SM								
(5,4),4	SM								
(6,2),4	SM								
(6,3),4	SM								
(6,4),4	SM								
(8,2),4	SM								
(8,3),4	SM								
(8,4),4	SM								
(16,2),4	SM								
(16,3),4	SM								
(16,4),4	SM								
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
