code_param	method	bandwidth	max_load	improvement	re_percent				
(2,2),3	SM	144	18						
(3,2),3	SM	217	21						
(3,3),3	SM	406	29						
(4,2),3	SM	263	18						
(4,3),3	SM	467	31						
(4,4),3	SM	689	37						
(5,2),3	SM	269	15						
(5,3),3	SM	489	27						
(5,4),3	SM	722	39						
(6,2),3	SM	315	17						
(6,3),3	SM	542	28						
(6,4),3	SM	684	33						
(8,2),3	SM	331	16						
(8,3),3	SM	540	23						
(8,4),3	SM	756	31						
(16,2),3	SM	458	17						
(16,3),3	SM	647	20						
(16,4),3	SM	841	23						
(2,2),3	BT	174	14		0				
(3,2),3	BT	265	16						
(3,3),3	BT	527	27		0.028				
(4,2),3	BT	329	15		0				
(4,3),3	BT	599	25		0.007				
(4,4),3	BT	878	34		0.035				
(5,2),3	BT	327	13		0				
(5,3),3	BT	623	26		0				
(5,4),3	BT	930	32		0.022				
(6,2),3	BT	402	14		0				
(6,3),3	BT	703	23		0.007				
(6,4),3	BT	896	30		0.025				
(8,2),3	BT	437	13		0				
(8,3),3	BT	690	18		0				
(8,4),3	BT	964	25		0				
(16,2),3	BT	588	11		0				
(16,3),3	BT	788	14						
(16,4),3	BT	1048	16						
