code_param	method	bandwidth	max_load	bw_tradeoff	load_improve	re_percent			
(4,2),2	RDRE								
(4,2),2	RDPM								
(4,2),2	BWRE								
(4,2),2	BWPM								
(4,2),2	BTRE								
(4,2),2	BTPM								
(4,2),2	BT								
(4,3),2	RDRE								
(4,3),2	RDPM								
(4,3),2	BWRE								
(4,3),2	BWPM								
(4,3),2	BTRE								
(4,3),2	BTPM								
(4,3),2	BT								
(4,4),2	RDRE								
(4,4),2	RDPM								
(4,4),2	BWRE								
(4,4),2	BWPM								
(4,4),2	BTRE								
(4,4),2	BTPM								
(4,4),2	BT								
(4,2),3	RDRE								
(4,2),3	RDPM								
(4,2),3	BWRE								
(4,2),3	BWPM								
(4,2),3	BTRE								
(4,2),3	BTPM								
(4,2),3	BT								
(4,3),3	RDRE								
(4,3),3	RDPM								
(4,3),3	BWRE								
(4,3),3	BWPM								
(4,3),3	BTRE								
(4,3),3	BTPM								
(4,3),3	BT								
(4,4),3	RDRE								
(4,4),3	RDPM								
(4,4),3	BWRE								
(4,4),3	BWPM								
(4,4),3	BTRE								
(4,4),3	BTPM								
(4,4),3	BT								
(4,2),4	RDRE								
(4,2),4	RDPM								
(4,2),4	BWRE								
(4,2),4	BWPM								
(4,2),4	BTRE								
(4,2),4	BTPM								
(4,2),4	BT								
(4,3),4	RDRE								
(4,3),4	RDPM								
(4,3),4	BWRE								
(4,3),4	BWPM								
(4,3),4	BTRE								
(4,3),4	BTPM								
(4,3),4	BT								
(4,4),4	RDRE								
(4,4),4	RDPM								
(4,4),4	BWRE								
(4,4),4	BWPM								
(4,4),4	BTRE								
(4,4),4	BTPM								
(4,4),4	BT								
