code_param	method	bandwidth	max_load	bw_tradeoff	load_improve	re_percent									
(4,3),2	RDRE	5350.8	318.6												
(4,3),2	RDPM	3713.6	202.0												
(4,3),2	BWRE	5000.0	795.4												
(4,3),2	BWPM	632.0	53.0												
(4,3),2	BTRE	5003.4	238.0												
(4,3),2	BTPM	636.0	36.4												
(4,3),2	BT	650.2	35.0												
(6,3),2	RDRE	7568.6	340.2												
(6,3),2	RDPM	4027.6	162.2												
(6,3),2	BWRE	7000.2	939.4												
(6,3),2	BWPM	825.2	47.6												
(6,3),2	BTRE	7009.6	251.8												
(6,3),2	BTPM	829.2	33.6												
(6,3),2	BT	832.8	33.2												
(8,3),2	RDRE	9828.8	386.2												
(8,3),2	RDPM	4343.0	145.6												
(8,3),2	BWRE	9000.8	1033.6												
(8,3),2	BWPM	961.8	46.4												
(8,3),2	BTRE														
(8,3),2	BTPM														
(8,3),2	BT														
(12,3),2	RDRE	14312.4	482.2												
(12,3),2	RDPM	4883.2	115.0												
(12,3),2	BWRE	13003.0	1098.2												
(12,3),2	BWPM	1196.2	42.2												
(12,3),2	BTRE														
(12,3),2	BTPM														
(12,3),2	BT														
(16,3),2	RDRE	18798.0	514.6												
(16,3),2	RDPM	5396.6	104.4												
(16,3),2	BWRE	17008.2	991.4												
(16,3),2	BWPM	1429.2	40.6												
(16,3),2	BTRE														
(16,3),2	BTPM														
(16,3),2	BT														
