code_param_id	code_param	method_id	method	bandwidth	max_load
a	(4,2),2	a	RDRE	48486.333333333336	1646.6666666666667
a	(4,2),2	b	BWRE	42502.0	1433.0
a	(4,2),2	c	BTRE	42502.0	1257.6666666666667
a	(4,2),2	d	RDPM	27499.0	847.3333333333334
a	(4,2),2	e	BWPM	3276.0	125.66666666666667
a	(4,2),2	f	BTPM	3295.6666666666665	112.66666666666667
a	(4,2),2	g	BT	3306.0	112.33333333333333
b	(6,2),2	a	RDRE	71909.33333333333	1796.6666666666667
b	(6,2),2	b	BWRE	62508.333333333336	1615.3333333333333
b	(6,2),2	c	BTRE	62518.333333333336	1280.0
b	(6,2),2	d	RDPM	31174.0	694.0
b	(6,2),2	e	BWPM	4898.333333333333	127.0
b	(6,2),2	f	BTPM	4921.333333333333	113.66666666666667
b	(6,2),2	g	BT	4916.666666666667	114.66666666666667
c	(8,2),2	a	RDRE	95343.33333333333	1900.6666666666667
c	(8,2),2	b	BWRE	82526.0	1674.6666666666667
c	(8,2),2	c	BTRE	82549.66666666667	1301.3333333333333
c	(8,2),2	d	RDPM	34728.333333333336	586.3333333333334
c	(8,2),2	e	BWPM	6431.666666666667	132.0
c	(8,2),2	f	BTPM	6462.333333333333	115.66666666666667
c	(8,2),2	g	BT	6484.333333333333	115.33333333333333
d	(12,2),2	a	RDRE	142213.0	2162.6666666666665
d	(12,2),2	b	BWRE	122664.0	1792.6666666666667
d	(12,2),2	c	BTRE	122744.33333333333	1307.0
d	(12,2),2	d	RDPM	41675.0	501.6666666666667
d	(12,2),2	e	BWPM	9589.666666666666	148.33333333333334
d	(12,2),2	f	BTPM	9597.0	113.66666666666667
d	(12,2),2	g	BT	9609.0	113.0
e	(16,2),2	a	RDRE	0	0
e	(16,2),2	b	BWRE	0	0
e	(16,2),2	c	BTRE	0	0
e	(16,2),2	d	RDPM	0	0
e	(16,2),2	e	BWPM	0	0
e	(16,2),2	f	BTPM	0	0
e	(16,2),2	g	BT	0	0
