numstripeid	numstripe	codeid	code	numblk	avg_num_blk_stripe	avg_send	std_send	avg_recv	std_recv
a	500	a	4_2	181	0.362				
b	1000	a	4_2	278	0.278				
c	2000	a	4_2	356	0.178				
d	5000	a	4_2	376	0.0752				
e	10000	a	4_2	349	0.0349				
a	500	b	4_3	368	0.736				
b	1000	b	4_3	630	0.63				
c	2000	b	4_3	1059	0.5295				
d	5000	b	4_3	2177	0.4354				
e	10000	b	4_3	3623	0.3623				
a	500	c	4_4	561	1.122				
b	1000	c	4_4	1043	1.043				
c	2000	c	4_4	1885	0.9425				
d	5000	c	4_4	4090	0.818				
e	10000	c	4_4	7228	0.7228				
